ID,Year_Birth,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,TotalSpend,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,TotalCampaignsAccepted,Complain
56,1958,66,2n Cycle,Married,50800.0,1,1,2020-11-29,43,935,10,857,44,27,124,1997,2,2,0,9,3,0,0,0,1,0,0,1,0
57,1982,42,Graduation,Married,54000.0,1,2,2022-01-28,98,254,35,51,195,22,60,617,4,9,3,8,6,0,0,0,0,0,0,0,0
58,1964,60,Graduation,Married,96200.0,0,0,2021-12-28,84,303,20,80,27,27,199,656,0,4,1,7,10,0,0,0,0,0,0,0,0
59,1980,44,Graduation,Married,44600.0,1,0,2021-03-05,68,174,285,375,11,5,430,1280,1,1,6,12,7,0,0,0,0,0,0,0,0
60,1975,49,Graduation,Married,47200.0,1,1,2021-06-30,1,299,833,810,9,18,37,2006,1,8,4,3,5,0,0,0,0,0,0,0,0
61,1994,30,Graduation,Single,29500.0,0,1,2020-05-26,39,187,21,131,28,64,34,465,3,7,0,3,4,0,0,0,0,0,1,0,0
62,1952,72,Graduation,Together,74200.0,0,2,2020-12-16,36,1569,36,133,30,36,34,1838,1,3,1,7,3,0,0,0,0,0,0,0,0
63,1982,42,Master,Together,54600.0,1,0,2022-12-29,48,399,5,49,31,78,52,614,3,2,1,6,4,0,0,0,0,0,0,0,0
64,1981,43,Graduation,Married,40900.0,0,1,2021-05-16,97,63,6,135,29,113,228,574,4,5,2,5,6,0,0,0,0,1,0,1,0
65,1958,66,Graduation,Divorced,20000.0,0,0,2020-11-30,74,583,44,35,228,4,14,908,0,3,1,7,5,0,0,0,0,0,0,0,0
66,1980,44,PhD,Together,100000.0,0,0,2022-08-04,35,2118,33,162,42,20,23,2398,4,2,2,3,5,0,0,0,0,1,0,1,0
67,1972,52,Graduation,Married,27700.0,1,0,2022-02-16,74,554,47,816,163,101,61,1742,4,1,5,6,4,0,0,0,0,0,0,0,0
68,1966,58,Master,Together,37700.0,1,0,2021-07-06,72,1160,12,52,65,34,47,1370,1,3,3,8,2,0,0,1,0,0,0,1,0
69,1959,65,Graduation,Married,59400.0,1,2,2021-03-25,69,696,43,153,18,27,63,1000,2,8,0,7,5,0,0,0,0,0,0,0,0
70,1961,63,Basic,Married,28200.0,0,0,2021-10-26,33,928,3,481,40,105,7,1564,3,4,3,7,12,0,0,1,0,0,0,1,0
71,1991,33,Master,Together,24400.0,0,1,2020-04-24,57,876,13,75,278,11,282,1535,4,3,1,6,10,0,0,0,0,0,0,0,0
72,1969,55,Graduation,Divorced,18000.0,1,1,2021-04-14,36,881,49,278,140,11,58,1417,1,3,0,5,6,0,0,0,0,0,0,0,0
73,1977,47,Graduation,Together,70700.0,1,0,2020-03-06,95,498,242,478,185,15,839,2257,1,1,3,8,3,0,0,0,0,0,0,0,0
74,1960,64,Master,Single,38500.0,0,0,2021-10-08,59,78,25,201,75,8,77,464,1,3,3,7,7,0,0,0,0,0,0,0,0
75,1960,64,PhD,Alone,180000.0,0,1,2022-04-01,11,275,72,288,42,36,54,767,6,2,2,5,5,0,0,0,0,0,0,0,0
76,1980,44,Master,Married,31000.0,0,0,2021-07-02,31,118,13,58,315,36,63,603,2,8,2,7,8,0,0,0,0,0,0,0,0
77,1954,70,Master,Married,32100.0,1,1,2020-05-15,80,44,48,117,80,9,263,561,4,3,2,3,5,0,0,0,0,0,0,0,0
78,1964,60,Graduation,Together,38100.0,1,2,2021-03-08,3,220,16,220,128,26,23,633,1,5,2,12,8,0,0,1,0,0,0,1,0
79,1969,55,Graduation,Together,56200.0,1,0,2021-10-06,32,1498,334,45,49,17,96,2039,1,6,7,6,3,0,0,0,0,0,0,0,0
80,1970,54,Graduation,Together,39900.0,2,0,2021-03-11,42,96,20,29,14,27,79,265,3,4,4,12,5,0,1,0,0,0,1,1,0
81,1967,57,Master,Divorced,67100.0,0,0,2022-10-19,8,742,26,173,69,182,99,1291,2,5,2,8,6,0,0,1,0,0,0,1,0
82,1973,51,PhD,Single,31300.0,1,1,2022-03-21,97,570,73,276,338,32,18,1307,2,7,2,8,3,0,0,0,0,0,1,0,0
83,1976,48,Graduation,Together,25800.0,1,0,2022-07-28,50,411,52,196,108,33,97,897,5,4,1,3,3,0,0,0,0,0,0,0,0
84,1977,47,Graduation,Married,21100.0,0,0,2020-10-19,93,1133,17,31,78,383,88,1730,1,3,5,5,5,0,0,0,1,0,0,1,0
85,1958,66,Graduation,Single,17200.0,2,0,2021-06-26,19,300,45,633,13,15,290,1296,5,5,1,4,4,0,0,0,0,0,0,0,0
86,1965,59,Graduation,Divorced,39000.0,0,2,2020-10-12,38,1658,9,207,272,63,374,2583,1,1,3,3,3,0,0,0,0,0,0,0,0
87,1982,42,Master,Single,43300.0,1,0,2021-05-20,22,282,38,555,218,17,74,1184,1,2,2,11,6,0,0,0,0,0,1,0,0
88,1978,46,PhD,Married,36900.0,1,0,2021-06-22,40,475,56,94,7,78,62,772,1,4,1,5,13,0,0,0,0,0,0,0,0
89,1953,71,Master,Together,90800.0,1,2,2022-05-27,43,349,22,277,134,16,27,825,5,6,4,8,4,0,0,1,0,0,0,1,0
90,1972,52,Graduation,Married,90200.0,0,1,2022-03-28,34,197,23,359,37,25,47,688,1,3,3,5,2,0,0,0,0,0,0,0,0
91,1947,77,Graduation,Married,42600.0,0,1,2022-01-11,22,105,15,577,58,16,31,802,1,6,2,7,4,0,0,0,0,0,0,0,1
92,1969,55,PhD,Married,21100.0,0,1,2021-03-25,57,587,5,511,14,8,144,1269,2,5,2,5,5,0,0,0,0,0,0,0,0
93,1989,35,Master,Together,38100.0,0,2,2020-10-10,47,1374,47,81,47,4,68,1621,1,5,3,6,3,0,0,0,0,1,0,1,0
94,1958,66,PhD,Single,37500.0,1,1,2022-11-09,86,430,17,162,13,49,18,689,2,4,2,7,6,0,0,0,0,0,0,0,0
95,1959,65,Master,Married,36500.0,1,1,2022-10-07,57,566,56,105,17,14,20,778,3,7,6,5,3,0,0,0,0,0,0,0,0
96,1977,47,Graduation,Married,35800.0,1,1,2020-07-05,56,84,23,214,76,22,945,1364,2,6,6,10,10,0,0,1,0,0,1,1,0
97,1952,72,PhD,Together,36500.0,0,1,2020-04-06,86,495,60,46,17,25,31,674,0,2,2,8,4,1,0,0,0,0,1,1,0
98,1962,62,Graduation,Married,41500.0,1,0,2020-08-12,38,66,6,44,69,7,104,296,2,6,4,4,7,0,0,0,0,0,0,0,0
99,1975,49,Graduation,Married,36900.0,1,0,2020-11-09,27,112,8,2941,46,19,50,3176,0,3,2,6,5,0,0,0,0,0,0,0,0
100,1962,62,Graduation,Together,55300.0,1,1,2020-11-23,63,1373,13,1731,825,7,40,3989,1,8,0,9,7,0,0,0,0,0,0,0,0
101,1966,58,Graduation,Single,59500.0,0,0,2022-05-14,61,364,128,706,23,20,187,1428,1,3,0,5,4,0,0,0,0,0,0,0,0
102,1977,47,PhD,Married,32300.0,0,1,2020-05-10,82,368,46,312,27,192,29,974,2,5,4,4,5,0,0,0,0,0,0,0,0
103,1973,51,Graduation,Married,92100.0,0,0,2022-02-27,61,650,26,472,25,21,43,1237,0,2,0,3,8,0,0,0,0,0,0,0,0
104,1971,53,PhD,Married,31200.0,1,1,2022-02-20,93,758,16,438,240,8,233,1693,3,3,2,6,5,0,0,0,0,0,0,0,0
105,1965,59,2n Cycle,Divorced,23000.0,1,0,2022-08-16,84,242,58,1225,44,16,30,1615,2,1,3,4,8,0,0,0,0,0,0,0,0
106,1973,51,Graduation,Single,60000.0,2,1,2022-12-19,87,476,17,122,37,212,16,880,2,7,2,4,7,0,0,0,0,0,0,0,0
107,1967,57,Graduation,Single,33800.0,0,1,2021-05-29,84,309,70,82,104,17,15,597,1,3,1,6,3,1,0,0,0,0,0,1,0
108,1974,50,Master,Married,58400.0,0,0,2020-01-24,25,109,24,193,18,8,89,441,2,2,2,9,7,1,0,0,0,0,1,1,0
109,1963,61,Graduation,Together,15800.0,1,0,2020-08-22,50,214,140,345,7,3,20,729,1,4,3,11,3,0,0,0,0,0,0,0,0
110,1966,58,Graduation,Married,97600.0,1,0,2021-06-30,49,575,16,175,65,24,184,1039,1,5,2,5,6,0,0,0,1,0,0,1,0
111,1958,66,Graduation,Together,69100.0,1,0,2021-11-27,35,264,28,121,53,83,54,603,5,4,4,3,1,0,0,0,0,0,0,0,0
112,1968,56,Graduation,Divorced,24300.0,1,0,2020-08-16,25,218,9,946,16,49,112,1350,0,5,0,4,4,0,0,0,0,0,0,0,0
113,1960,64,2n Cycle,Together,24600.0,0,0,2021-08-24,32,738,217,70,61,114,70,1270,3,5,4,4,7,0,0,0,0,0,0,0,0
114,1956,68,Master,Divorced,111600.0,1,2,2022-06-09,99,474,36,1033,423,71,173,2210,1,7,4,3,2,0,0,0,0,0,0,0,0
115,1971,53,PhD,Single,35100.0,1,0,2020-11-19,67,477,9,546,70,30,426,1558,4,6,3,7,4,0,0,0,0,0,0,0,0
116,1971,53,Master,Married,33500.0,0,1,2022-07-18,72,77,10,1671,6,3,90,1857,0,3,2,5,7,0,0,0,0,0,1,0,0
117,1977,47,Master,Divorced,16900.0,0,0,2020-01-07,7,508,51,2298,235,164,83,3339,1,5,5,5,5,0,0,0,0,0,0,0,0
118,1964,60,Graduation,Married,42300.0,0,1,2021-06-23,65,126,5,280,496,7,172,1086,1,2,2,4,3,0,0,0,0,0,0,0,0
119,1973,51,2n Cycle,Together,44800.0,0,0,2022-10-22,92,335,24,2044,78,548,28,3057,1,4,2,7,2,0,0,0,0,0,1,0,0
120,1975,49,PhD,Married,70500.0,1,1,2020-12-31,22,161,14,342,54,16,94,681,2,7,3,2,2,0,1,1,0,0,0,2,0
121,1973,51,Master,Married,25600.0,0,1,2022-11-05,69,869,23,278,7,12,17,1206,4,1,5,4,7,0,0,0,0,0,0,0,0
122,1959,65,2n Cycle,Together,24100.0,0,1,2020-08-05,54,2298,31,220,14,15,20,2598,4,8,5,6,6,0,0,0,0,0,0,0,0
123,1970,54,Graduation,Married,62100.0,0,0,2021-09-03,42,316,28,130,32,33,33,572,3,2,2,8,4,0,0,0,0,0,0,0,0
124,1973,51,Graduation,Together,81100.0,0,1,2022-11-05,99,334,25,458,24,11,213,1065,1,0,5,5,8,0,0,0,0,0,0,0,0
125,1969,55,Graduation,Together,23500.0,0,0,2021-02-11,20,963,34,673,21,10,39,1740,3,4,2,3,7,0,0,0,0,0,0,0,0
126,1946,78,Graduation,Married,84000.0,1,0,2020-11-09,21,652,260,75,53,98,29,1167,2,4,1,6,3,0,0,0,0,0,1,0,0
127,1970,54,Master,Married,50900.0,0,0,2022-02-04,8,327,140,3629,21,158,116,4391,3,11,4,6,6,0,0,0,0,0,0,0,0
128,1993,31,Master,Together,84500.0,0,0,2020-11-26,33,538,24,1217,277,14,18,2088,0,2,1,7,6,0,0,0,0,0,0,0,0
129,1965,59,Graduation,Married,48400.0,0,0,2022-12-22,58,2887,70,106,46,45,11,3165,3,2,5,8,7,0,0,0,0,0,0,0,0
130,1960,64,PhD,Single,14900.0,0,1,2020-01-02,25,152,63,331,72,14,33,665,1,3,5,8,7,1,0,0,0,0,0,1,0
131,1973,51,Graduation,Single,46500.0,0,0,2021-10-25,0,200,19,181,77,55,38,570,2,8,5,8,7,0,1,0,0,0,0,1,0
132,1972,52,Graduation,Single,83200.0,0,0,2022-09-27,99,810,32,292,70,15,165,1384,2,2,5,3,8,0,0,0,0,0,0,0,0
133,1982,42,Graduation,Single,32600.0,1,0,2020-02-09,4,3140,54,156,42,72,189,3653,3,4,2,1,4,0,0,1,0,0,0,1,0
134,1955,69,Graduation,Together,41500.0,1,1,2020-08-17,40,406,13,332,140,26,44,961,5,2,5,5,4,0,0,1,0,0,0,1,0
135,1977,47,2n Cycle,Single,46000.0,0,1,2022-01-13,62,86,22,68,183,18,40,417,2,4,5,4,7,0,0,0,0,1,1,1,0
136,1975,49,Graduation,Married,12400.0,0,0,2021-09-21,21,472,20,2315,3,26,18,2854,2,2,3,6,4,0,0,1,0,1,0,2,0
137,1967,57,PhD,Married,111600.0,2,1,2021-05-05,67,281,28,111,19,186,54,679,2,2,3,12,6,0,0,0,0,0,0,0,0
138,1972,52,PhD,Single,32400.0,1,0,2020-04-28,47,540,20,338,21,26,6,951,3,4,0,9,5,0,0,0,0,1,0,1,0
139,1980,44,Graduation,Together,,0,0,2021-05-08,65,112,50,98,14,43,32,349,3,4,0,4,6,0,0,0,0,0,0,0,0
140,1978,46,Basic,Single,48000.0,1,0,2020-06-10,15,102,30,161,19,34,46,392,2,2,4,2,7,0,0,0,0,0,0,0,0
141,1956,68,Basic,Single,91500.0,1,1,2020-06-24,79,308,67,339,31,38,30,813,4,4,1,5,6,0,0,0,0,0,0,0,0
142,1978,46,Graduation,Single,60800.0,1,1,2022-09-22,52,1933,693,218,33,136,28,3041,1,6,5,5,6,0,0,0,0,0,0,0,0
143,1968,56,Graduation,Divorced,44700.0,0,0,2020-05-21,85,106,16,216,10,83,36,467,4,7,4,0,4,0,0,0,0,0,0,0,0
144,1969,55,Graduation,Together,32600.0,0,0,2022-12-26,64,240,37,121,25,7,47,477,2,3,4,5,2,0,0,0,0,0,0,0,0
145,1969,55,Graduation,Married,73300.0,0,0,2020-09-14,78,130,56,111,244,61,134,736,4,5,2,6,5,0,0,1,0,0,0,1,0
146,1967,57,Graduation,Together,20300.0,1,1,2020-09-19,63,432,109,377,28,221,75,1242,4,3,2,7,6,0,0,1,0,1,0,2,0
147,1982,42,PhD,Married,68200.0,1,1,2022-08-31,87,453,51,95,88,26,136,849,1,3,5,10,7,0,0,0,0,0,0,0,0
148,1968,56,PhD,Together,29500.0,0,0,2020-12-04,67,86,8,89,37,84,91,395,5,2,0,6,2,0,0,0,0,0,0,0,0
149,1956,68,Graduation,Single,91200.0,1,0,2021-06-26,62,1345,18,126,54,9,63,1615,2,1,4,8,7,0,0,0,0,0,0,0,0
150,1964,60,Graduation,Single,54000.0,1,1,2022-12-16,61,85,36,139,38,12,647,957,2,6,5,7,5,1,0,1,0,0,0,2,0
151,1970,54,2n Cycle,Married,68100.0,2,1,2022-05-16,81,1791,16,65,105,613,28,2618,1,6,1,9,4,1,0,0,0,0,0,1,0
152,1982,42,Graduation,Married,52000.0,1,1,2021-03-09,80,1429,8,56,18,77,21,1609,1,3,6,7,5,0,0,0,1,0,0,1,0
153,1975,49,Graduation,Together,21600.0,2,1,2021-02-15,70,441,10,328,48,37,39,903,3,5,1,1,6,0,0,0,0,0,0,0,0
154,1959,65,Graduation,Married,33100.0,0,1,2021-09-30,44,843,11,339,21,298,45,1557,1,6,2,9,5,0,0,0,0,0,0,0,0
155,1996,28,Basic,Divorced,69100.0,1,0,2022-03-28,51,315,12,278,96,12,61,774,0,4,6,8,3,0,0,0,0,0,0,0,0
156,1971,53,Graduation,Married,54200.0,1,0,2022-02-03,73,104,698,896,15,145,21,1879,0,4,1,8,8,0,0,0,0,1,0,1,0
157,1983,41,PhD,Married,88200.0,0,0,2022-06-16,64,480,46,104,96,16,473,1215,4,3,0,7,5,0,0,0,0,0,0,0,1
158,1967,57,Master,Married,60700.0,0,1,2022-11-25,1,110,35,51,55,35,37,323,1,2,4,5,7,0,0,0,0,0,0,0,0
159,1974,50,Graduation,Single,31400.0,2,0,2022-07-13,48,325,88,442,10,5,17,887,1,3,5,9,4,0,0,0,0,0,0,0,0
160,1978,46,Master,Together,34100.0,0,0,2020-09-04,21,105,272,35,361,19,64,856,3,8,3,10,5,0,0,0,0,0,0,0,0
161,1982,42,Graduation,Married,52500.0,1,0,2021-05-22,95,938,47,167,82,155,171,1560,1,11,4,3,2,0,0,0,0,0,0,0,0
162,1980,44,PhD,Married,16500.0,0,0,2021-04-05,28,471,98,238,10,15,305,1137,5,5,2,6,7,0,0,0,0,0,1,0,0
163,1978,46,PhD,Together,111700.0,0,1,2020-05-11,34,753,23,2040,59,61,18,2954,4,2,1,7,3,0,0,0,0,0,1,0,0
164,1965,59,PhD,Married,61800.0,0,0,2021-11-23,80,500,13,118,11,19,119,780,2,7,2,3,2,0,0,0,1,0,0,1,0
165,1962,62,Graduation,Single,90100.0,0,0,2020-02-13,75,2501,92,142,15,55,375,3180,1,4,4,2,5,0,0,0,0,0,0,0,0
166,1972,52,Master,Together,23400.0,1,1,2021-04-16,23,955,84,378,177,72,24,1690,2,7,2,3,5,0,0,0,0,0,0,0,0
167,1979,45,Graduation,Married,90900.0,0,0,2021-03-27,93,2075,81,392,18,19,46,2631,2,2,3,6,2,0,0,0,0,0,0,0,0
168,1966,58,Graduation,Married,146000.0,0,1,2020-01-15,29,260,43,191,121,22,35,672,3,6,3,3,6,0,0,0,0,0,0,0,0
169,1980,44,Graduation,Widow,26500.0,0,1,2020-05-25,83,187,11,219,171,18,25,631,4,4,2,3,6,0,0,0,0,0,0,0,0
170,1984,40,PhD,Together,72400.0,0,2,2020-04-30,41,89,20,106,19,22,22,278,1,7,4,10,4,0,0,0,0,0,0,0,0
171,1958,66,PhD,Single,50000.0,0,1,2021-04-13,70,242,120,309,558,6,141,1376,2,2,1,6,6,0,0,0,0,0,1,0,0
172,1959,65,Graduation,Married,23800.0,1,0,2020-05-18,49,309,13,33,44,43,41,483,0,5,7,7,7,0,0,0,0,0,0,0,0
173,1967,57,PhD,Together,63400.0,0,1,2020-03-05,70,550,38,5504,46,50,10,6198,1,4,3,3,4,0,0,0,0,1,1,1,0
174,1972,52,Graduation,Married,74600.0,0,0,2021-11-07,59,240,16,435,19,9,31,750,4,6,2,8,4,0,0,0,0,0,0,0,0
175,1963,61,PhD,Together,37500.0,0,0,2020-05-25,29,716,23,61,14,83,24,921,3,6,3,4,4,0,0,0,0,0,0,0,0
176,1983,41,Graduation,Divorced,87500.0,0,0,2022-11-18,11,719,14,167,12,23,135,1070,5,0,3,8,4,0,0,0,0,0,0,0,0
177,1973,51,PhD,Married,22500.0,0,0,2021-05-02,48,196,25,55,15,43,43,377,3,6,3,3,6,0,0,0,0,0,0,0,0
178,1969,55,Graduation,Married,24400.0,0,1,2021-07-24,94,123,15,72,171,21,42,444,2,1,2,6,8,0,0,0,0,0,0,0,0
179,1953,71,2n Cycle,Married,53400.0,1,0,2022-09-21,81,376,7,241,16,45,102,787,2,2,3,4,7,0,0,0,0,0,0,0,0
180,1954,70,Graduation,Together,50600.0,1,1,2021-03-14,45,385,65,911,16,35,163,1575,2,4,3,5,8,0,0,0,0,0,0,0,0
181,1972,52,Graduation,Married,35500.0,1,0,2020-09-27,42,185,60,163,10,87,65,570,5,9,3,2,6,0,0,0,0,1,0,1,0
182,1945,79,Graduation,Married,73800.0,0,0,2022-08-26,1,299,34,55,15,33,30,466,3,5,1,6,3,0,0,0,0,0,0,0,0
183,1980,44,2n Cycle,Single,64500.0,0,2,2021-05-12,96,124,11,113,125,77,16,466,2,6,5,5,7,0,0,0,0,0,0,0,0
184,1967,57,Master,Together,75500.0,0,0,2022-08-26,74,715,12,126,16,178,261,1308,1,1,0,2,4,0,0,0,1,0,0,1,0
